,Product Link,Product description
0,https://www.asos.com/jack-jones/jack-jones-intelligence-relaxed-fit-denim-shorts-with-distressing-in-black-wash/prd/204390458?clr=black-denim&colourWayId=204390468&cid=6993,Jack & Jones Intelligence relaxed fit denim shorts with distressing in black wash
1,https://www.asos.com/vans/vans-cargo-shorts-in-off-white-utility-pack-exclusive-to-asos/prd/204741416?clr=white&colourWayId=204741417&cid=6993,Vans cargo shorts in off white Utility pack - Exclusive to Asos
2,https://www.asos.com/vans/vans-cargo-shorts-in-black-utility-pack-exclusive-to-asos/prd/204741255?clr=black&colourWayId=204741256&cid=6993,Vans cargo shorts in black Utility pack- Exclusive to Asos
3,https://www.asos.com/adidas-performance/adidas-sportswear-linear-logo-shorts-in-off-white/prd/203407141?clr=tan&colourWayId=203407149&cid=6993,adidas Sportswear linear logo shorts in off white
4,https://www.asos.com/adidas-performance/adidas-football-manchester-united-track-top-in/prd/204977141?clr=core-white&colourWayId=204977153&cid=6993,adidas Football Manchester United track top in 
5,https://www.asos.com/topman/topman-limited-dropped-shoulder-oversized-fit-t-shirt-in-blue/prd/204817043?clr=light-blue&colourWayId=204817044&cid=6993,Topman Limited  dropped shoulder oversized fit t-shirt in blue
6,https://www.asos.com/topman/topman-limited-dropped-shoulder-oversized-fit-t-shirt-in-ecru/prd/204816967?clr=ecru&colourWayId=204816971&cid=6993,Topman Limited dropped shoulder oversized fit t-shirt in ecru
7,https://www.asos.com/topman/topman-oversized-ladder-texture-t-shirt-in-white/prd/204816899?clr=white&colourWayId=204816904&cid=6993,Topman oversized ladder texture t-shirt In white
8,https://www.asos.com/collusion/collusion-surfing-short-sleeve-shirt-in-green-retro-print/prd/202709609?clr=light-green&colourWayId=202709611&cid=6993,COLLUSION surfing short sleeve shirt in green retro print
9,https://www.asos.com/river-island/river-island-short-sleeve-revere-shirt-in-blue/prd/204985086?clr=blue&colourWayId=204985087&cid=6993,River Island short sleeve revere shirt in blue
10,https://www.asos.com/river-island/river-island-short-sleeve-paisley-shirt-in-navy/prd/204985071?clr=navy&colourWayId=204985073&cid=6993,River Island short sleeve paisley shirt in navy
11,https://www.asos.com/selected-homme/selected-homme-revere-collar-knitted-shirt-in-white/prd/204752321?clr=egret&colourWayId=204752329&cid=6993,Selected Homme revere collar knitted shirt in white
12,https://www.asos.com/river-island/river-island-piped-lux-swimshort-in-pink/prd/204966188?clr=pink-medium&colourWayId=204966189&cid=6993,River Island piped lux swimshort in pink
13,https://www.asos.com/asos-design/asos-design-2-pack-swim-shorts-in-mid-length-in-brown-beige/prd/204706677?clr=brown-beige&colourWayId=204706678&cid=6993,ASOS DESIGN 2 pack swim shorts in mid length in brown & beige
14,https://www.asos.com/asos-design/asos-design-2-pack-swim-shorts-in-mid-length-in-grey-beige-save/prd/204704971?clr=charcoal-grey&colourWayId=204704972&cid=6993,ASOS DESIGN 2 pack swim shorts in mid length in grey/beige SAVE
15,https://www.asos.com/asos-design/asos-design-swim-shorts-in-short-length-in-orange/prd/204569557?clr=iceland-orange&colourWayId=204569560&cid=6993,ASOS DESIGN swim shorts in short length in orange
16,https://www.asos.com/asos-design/asos-design-super-skinny-suit-trousers-in-chocolate/prd/203876976?clr=chocolate&colourWayId=203876989&cid=6993,ASOS DESIGN super skinny suit trousers in chocolate
17,https://www.asos.com/asos-design/asos-design-mix-match-suit-in-pale-green/grp/204982160?clr=light-green&colourWayId=203543093&cid=6993#203543083,ASOS DESIGN mix & match suit in pale green
18,https://www.asos.com/selected-homme/selected-homme-washed-cotton-wide-leg-suit-trouser-in-dark-indigo-blue/prd/202389708?clr=indigo&colourWayId=202389721&cid=6993,Selected Homme washed cotton wide leg suit trouser in dark indigo blue
19,https://www.asos.com/asos-design/asos-design-slim-wool-mix-suit-in-herringbone-in-green/grp/205137020?clr=green&colourWayId=204608512&cid=6993#204608497,ASOS DESIGN slim wool mix suit in herringbone in green
20,https://www.asos.com/asos-design/asos-design-super-skinny-suit-jacket-in-chocolate/prd/203876947?clr=chocolate&colourWayId=203876958&cid=6993,ASOS DESIGN super skinny suit jacket in chocolate
21,https://www.asos.com/asos-design/asos-design-skinny-suit-in-toffee/grp/205147208?clr=camel&colourWayId=203921516&cid=6993#203921515,ASOS DESIGN skinny suit in toffee
22,https://www.asos.com/asos-design/asos-design-slim-suit-in-berry/grp/205147194?clr=berry&colourWayId=203921446&cid=6993#203921444,ASOS DESIGN slim suit in berry
23,https://www.asos.com/asos-design/asos-design-skinny-suit-in-sand/grp/205147193?clr=sand&colourWayId=203921323&cid=6993#203921304,ASOS DESIGN skinny suit in sand
24,https://www.asos.com/superdry/superdry-vintage-small-logo-hoodie-in-bright-green/prd/204893281?clr=drop-kick-green&colourWayId=204893293&cid=6993,Superdry vintage small logo hoodie in bright green
